model,accuracy,precision_fake,recall_fake,f1_fake,f1_macro,roc_auc,cv_f1_macro_mean,cv_f1_macro_std
LogReg,0.7342657342657343,0.8073394495412844,0.6153846153846154,0.6984126984126984,0.7304563492063492,0.8087192527751969,0.8093399555795093,0.03871469007087178
LinearSVM,0.7307692307692307,0.7972972972972973,0.6188811188811189,0.6968503937007874,0.7273560144604566,0.810345249156438,0.8083839114065672,0.033788703309041886
GradBoosting,0.7132867132867133,0.73828125,0.6608391608391608,0.6974169741697417,0.7124958625001532,0.77937796469265,0.8123370798866472,0.016112782038633915
RandomForest,0.6800699300699301,0.6928838951310862,0.6468531468531469,0.6690777576853526,0.6797165438172956,0.761381974668688,0.7943601429788876,0.022149047349873184
NaiveBayes,0.6625874125874126,0.8444444444444444,0.3986013986013986,0.5415676959619953,0.637312202061219,0.7830334001662674,0.7646005920753577,0.012199261632138149
