config,model,accuracy,precision_fake,recall_fake,f1_fake,f1_macro,roc_auc,cv_f1_macro_mean,cv_f1_macro_std
word_sw,RandomForest,0.7202797202797203,0.723404255319149,0.7132867132867133,0.7183098591549296,0.7202660406885759,0.7946170961905228,0.8186510161382756,0.02932715939939024
word_sw,LinearSVM,0.715034965034965,0.786046511627907,0.5909090909090909,0.6746506986027944,0.7105757381038855,0.7812484718079125,0.8027164673951294,0.024830653725510285
word_sw,LogReg,0.7097902097902098,0.780373831775701,0.583916083916084,0.668,0.7051180124223603,0.7846716220842095,0.7996216636604456,0.02258917351193769
word_sw,GradBoosting,0.6520979020979021,0.6191780821917808,0.7902097902097902,0.6943164362519201,0.6453326603166294,0.7246136730402465,0.7751099376000558,0.028603881248384172
word_sw,NaiveBayes,0.5961538461538461,0.7835051546391752,0.26573426573426573,0.3968668407310705,0.5466594387623815,0.7506479534451562,0.7781490000502072,0.03316276177043078
word_nosw,RandomForest,0.722027972027972,0.7041800643086816,0.7657342657342657,0.7336683417085427,0.721495962444765,0.7952100347205242,0.8058231127947275,0.022572936631070486
word_nosw,LogReg,0.7132867132867133,0.7932692307692307,0.5769230769230769,0.6680161943319838,0.7078542510121457,0.800968262506724,0.8130820714257323,0.0069235464289222354
word_nosw,LinearSVM,0.7115384615384616,0.7951219512195122,0.5699300699300699,0.6639511201629328,0.7056355907093377,0.800943811433322,0.8141352192793135,0.0034239910387216525
word_nosw,GradBoosting,0.6730769230769231,0.6402266288951841,0.7902097902097902,0.7073552425665102,0.66852910643177,0.7463690155997847,0.7801047510360729,0.0106504074316443
word_nosw,NaiveBayes,0.6101398601398601,0.7787610619469026,0.3076923076923077,0.44110275689223055,0.570886948915914,0.7581299819062056,0.7794371019487147,0.0356762890937154
char_sw,LogReg,0.7307692307692307,0.7972972972972973,0.6188811188811189,0.6968503937007874,0.7273560144604566,0.8031566335762139,0.7999370472064241,0.03358361071679261
char_sw,LinearSVM,0.7255244755244755,0.7918552036199095,0.6118881118881119,0.6903353057199211,0.7219337439117659,0.804354736172918,0.8000516339947532,0.034039157498676614
char_sw,GradBoosting,0.715034965034965,0.7303370786516854,0.6818181818181818,0.705244122965642,0.7147202002307059,0.7774341043571813,0.7751509599833175,0.021455807993139855
char_sw,RandomForest,0.6818181818181818,0.6857142857142857,0.6713286713286714,0.6784452296819788,0.6817831684742074,0.7692368819991198,0.8067822128105687,0.03497235864375852
char_sw,NaiveBayes,0.6503496503496503,0.8359375,0.3741258741258741,0.5169082125603864,0.6214678049103302,0.7798792116973935,0.750523155106452,0.009820338933750464
char_nosw,LogReg,0.7342657342657343,0.8073394495412844,0.6153846153846154,0.6984126984126984,0.7304563492063492,0.8087192527751969,0.8093399555795093,0.03871469007087178
char_nosw,LinearSVM,0.7307692307692307,0.7972972972972973,0.6188811188811189,0.6968503937007874,0.7273560144604566,0.810345249156438,0.8083839114065672,0.033788703309041886
char_nosw,GradBoosting,0.7132867132867133,0.73828125,0.6608391608391608,0.6974169741697417,0.7124958625001532,0.77937796469265,0.8123370798866472,0.016112782038633915
char_nosw,RandomForest,0.6800699300699301,0.6928838951310862,0.6468531468531469,0.6690777576853526,0.6797165438172956,0.761381974668688,0.7943601429788876,0.022149047349873184
char_nosw,NaiveBayes,0.6625874125874126,0.8444444444444444,0.3986013986013986,0.5415676959619953,0.637312202061219,0.7830334001662674,0.7646005920753577,0.012199261632138149
